factor_id,name,modality,target_tissues,rejuvenation_potential,identity_preservation,oncogenic_risk,dedifferentiation_risk,delivery_feasibility,tissue_specificity,evidence_strength,druggability,novelty_ip,mechanism,notes,evidence_sources
osk,OCT4 + SOX2 + KLF4,transcription_factor_cocktail,retina;neuron;fibroblast;muscle,0.92,0.62,0.55,0.45,0.55,0.70,0.82,0.30,0.55,Partial Yamanaka-factor reprogramming without MYC,High rejuvenation signal but requires tight expression control and strong tumor surveillance,lu2020;ocampo2016;rose_adashi2025
oskm,OCT4 + SOX2 + KLF4 + MYC,transcription_factor_cocktail,fibroblast;iPSC_model,0.96,0.35,0.90,0.85,0.48,0.45,0.78,0.20,0.30,Canonical full reprogramming cocktail,Useful benchmark but too risky for direct in-vivo rejuvenation because of MYC and pluripotency drift,takahashi2006;takahashi2007;abad2013
oct4,OCT4,transcription_factor,fibroblast;stem_cell,0.68,0.45,0.72,0.78,0.58,0.40,0.62,0.24,0.40,Core pluripotency regulator,Powerful cell-state driver but high identity-loss risk when used alone,takahashi2006;takahashi2007
sox2,SOX2,transcription_factor,neuron;stem_cell;fibroblast,0.62,0.52,0.64,0.62,0.58,0.52,0.58,0.23,0.42,Pluripotency and neural lineage regulator,Potentially useful in neural contexts but cancer and fate-shift risks need gating,takahashi2006;takahashi2007
klf4,KLF4,transcription_factor,epithelial;fibroblast;retina,0.64,0.67,0.48,0.42,0.60,0.56,0.60,0.25,0.45,Reprogramming factor with context-dependent proliferation effects,Safer than MYC in many settings but still needs transient expression control,takahashi2006;lu2020
myc,MYC,transcription_factor,proliferative_cells,0.70,0.22,0.96,0.76,0.55,0.25,0.66,0.18,0.20,Pro-growth reprogramming accelerator,Usually a negative-control risk flag for rejuvenation programs,abad2013;takahashi2007
sirt6,SIRT6,gene_or_small_molecule_axis,fibroblast;immune;liver;brain,0.66,0.82,0.22,0.18,0.64,0.55,0.56,0.58,0.66,DNA repair chromatin and metabolic stress regulator,Good low-risk adjunct candidate rather than full reprogramming driver,hallmarks2023
tet2,TET2,gene_or_epigenetic_editor,hematopoietic;immune;fibroblast,0.58,0.72,0.42,0.34,0.42,0.50,0.46,0.36,0.64,DNA demethylation and hematopoietic epigenetic regulation,Interesting for epigenetic age but clonal hematopoiesis risk makes context critical,hallmarks2023
lin28a,LIN28A,RNA_binding_factor,regeneration;muscle;metabolic_tissue,0.60,0.50,0.58,0.48,0.52,0.42,0.45,0.24,0.58,Developmental RNA-binding regeneration factor,Potential regeneration enhancer but identity and tumor risks need careful screens,hallmarks2023
foxo3,FOXO3,gene_or_small_molecule_axis,immune;metabolic_tissue;stress_response,0.54,0.84,0.18,0.12,0.62,0.48,0.50,0.52,0.62,Stress resistance and longevity-associated transcription factor,More likely a safety-supporting network modulator than a rejuvenation switch,hallmarks2023
