org_id,name,org_type,country,city,focus,tags,url,notes
org001,Altos Labs,company,USA,San Francisco,cellular rejuvenation and reprogramming,partial_reprogramming;cell_rejuvenation,https://altoslabs.com/,High profile reprogramming company
org002,NewLimit,company,USA,South San Francisco,epigenetic reprogramming and cell age models,partial_reprogramming;single_cell;ai,https://www.newlimit.com/,AI and single cell led reprogramming discovery
org003,Life Biosciences,company,USA,Boston,aging therapeutics and partial epigenetic reprogramming,partial_reprogramming;ophthalmology,https://www.lifebiosciences.com/,Develops aging biology programs including reprogramming
org004,Retro Biosciences,company,USA,Redwood City,cellular rejuvenation and longevity therapeutics,cell_rejuvenation;autophagy;plasma,https://www.retrobio.com/,Longevity biotechnology platform
org005,Calico,company,USA,South San Francisco,aging biology and age related disease,aging_biology;drug_discovery,https://www.calicolabs.com/,Alphabet backed aging biology company
org006,Rejuvenate Bio,company,USA,San Diego,gene therapy for age related disease,gene_therapy;cardiac;metabolic,https://rejuvenatebio.com/,Gene therapy longevity company
org007,Turn Biotechnologies,company,USA,Mountain View,mRNA epigenetic reprogramming,mrna;partial_reprogramming;delivery,https://turn.bio/,Transient reprogramming platform
org008,Shift Bioscience,company,UK,Cambridge,cell simulation and rejuvenation factors,ai;cell_rejuvenation;factors,https://shiftbioscience.com/,Computational discovery for cell rejuvenation
org009,YouthBio Therapeutics,company,USA,San Francisco,partial reprogramming gene therapy,partial_reprogramming;gene_therapy,https://www.youthbiotherapeutics.com/,Reprogramming focused startup
org010,AgeX Therapeutics,company,USA,Alameda,regenerative medicine and induced tissue regeneration,regeneration;cell_therapy,https://www.agexinc.com/,Regenerative medicine oriented company
org011,Insilico Medicine,company,Hong Kong,Hong Kong,AI drug discovery for aging and disease,ai;drug_discovery;aging,https://insilico.com/,AI drug discovery company with aging roots
org012,BioAge Labs,company,USA,Richmond,omics driven aging therapeutics,omics;drug_discovery;aging,https://bioagelabs.com/,Human aging data driven therapeutics
org013,Fauna Bio,company,USA,Emeryville,comparative genomics for disease and longevity,comparative_genomics;drug_discovery,https://www.faunabio.com/,Uses animal biology to find drug targets
org014,Cambrian Bio,company,USA,New York,portfolio of longevity therapeutics,longevity;portfolio,https://www.cambrianbio.com/,Longevity biotech builder
org015,Unity Biotechnology,company,USA,South San Francisco,senolytic and age related disease programs,senolytic;ophthalmology,https://unitybiotechnology.com/,Senescence focused aging company
org016,Rubedo Life Sciences,company,USA,Sunnyvale,senescent cell targeting and age related disease,senolytic;inflammation,https://www.rubedolife.com/,Targets pathological aged cells
org017,Oisin Biotechnologies,company,USA,Seattle,gene therapy senolytics and oncology,senolytic;gene_therapy,https://www.oisinbio.com/,Programmable gene therapy approach
org018,Genflow Biosciences,company,UK,London,SIRT6 gene therapy and longevity,gene_therapy;sirtuin,https://genflowbio.com/,SIRT6 focused longevity company
org019,Repair Biotechnologies,company,USA,Syracuse,damage repair and cholesterol aging programs,damage_repair;atherosclerosis,https://www.repairbiotechnologies.com/,Damage repair oriented longevity company
org020,Gordian Biotechnology,company,USA,San Francisco,in vivo screening for age related disease,screening;aging_models,https://www.gordian.bio/,In vivo discovery platform
org021,Shenzhen Bay Laboratory,research_institute,China,Shenzhen,aging disease and biomedical innovation,china;institute;aging,https://www.szbl.ac.cn/,Important Greater Bay Area biomedical institute
org022,Westlake University,university,China,Hangzhou,life science aging stem cell and epigenetics,china;university;epigenetics,https://www.westlake.edu.cn/,Strong life science research base
org023,Tsinghua University,university,China,Beijing,life science epigenetics and regenerative medicine,china;university;epigenetics,https://www.tsinghua.edu.cn/,Major Chinese university
