gene_id,symbol,aliases,category,mechanism,target_tissues,rejuvenation_potential,identity_preservation,oncogenic_risk,dedifferentiation_risk,delivery_feasibility,tissue_specificity,evidence_strength,druggability,reprogramming_relevance,notes,evidence_query
g001,POU5F1,OCT4,pluripotency_factor,Core pluripotency and Yamanaka factor,fibroblast;stem_cell;iPSC_model,0.88,0.36,0.74,0.82,0.54,0.44,0.78,0.22,0.95,High power but identity risk,POU5F1 OCT4 partial reprogramming aging safety
g002,SOX2,,pluripotency_factor,Neural and pluripotency transcription factor,neuron;stem_cell;fibroblast,0.70,0.50,0.66,0.64,0.56,0.52,0.62,0.24,0.82,Context dependent fate risk,SOX2 partial reprogramming aging safety
g003,KLF4,,reprogramming_factor,Epithelial and Yamanaka reprogramming factor,fibroblast;retina;epithelial,0.66,0.66,0.48,0.42,0.60,0.58,0.62,0.28,0.78,Safer than MYC but gated,KLF4 partial reprogramming aging safety
g004,MYC,CMYC,oncogenic_reprogramming_factor,Pro growth accelerator and OSKM component,proliferative_cells;iPSC_model,0.72,0.20,0.96,0.78,0.54,0.24,0.70,0.18,0.75,Risk benchmark not candidate,MYC OSKM reprogramming cancer risk
g005,NANOG,,pluripotency_factor,Maintains pluripotent cell state,stem_cell;iPSC_model,0.74,0.28,0.76,0.84,0.48,0.34,0.64,0.18,0.78,Identity loss risk,NANOG reprogramming aging pluripotency risk
g006,LIN28A,LIN28,developmental_factor,RNA binding regeneration and let7 axis,regeneration;muscle;metabolic_tissue,0.60,0.50,0.58,0.48,0.52,0.42,0.45,0.24,0.62,Regeneration enhancer with tumor caution,LIN28A regeneration aging reprogramming safety
g007,ESRRB,,pluripotency_factor,Nuclear receptor supporting naive pluripotency,stem_cell;iPSC_model,0.58,0.38,0.54,0.70,0.42,0.32,0.42,0.20,0.58,Mostly discovery stage,ESRRB reprogramming aging safety
g008,DPPA2,,pluripotency_factor,Early embryonic chromatin state regulator,stem_cell;iPSC_model,0.50,0.36,0.48,0.66,0.38,0.28,0.34,0.18,0.48,Use for mechanism mapping,DPPA2 reprogramming chromatin aging
g009,DPPA4,,pluripotency_factor,Early embryonic chromatin state regulator,stem_cell;iPSC_model,0.50,0.36,0.48,0.66,0.38,0.28,0.34,0.18,0.48,Use for mechanism mapping,DPPA4 reprogramming chromatin aging
g010,SALL4,,pluripotency_factor,Stemness transcriptional regulator,stem_cell;hematopoietic,0.56,0.38,0.68,0.68,0.42,0.34,0.42,0.20,0.55,High cancer caution,SALL4 reprogramming aging cancer risk
